SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,1,Alabama,Autauga County,5,5,3249,1612,1637,1152,1164,386,397,4,3,17,20,5,4,48,49,1192,1208,417,428,13,11,35,38,9,9,1523,1555,1079,1091,381,393,3,3,17,20,2,4,41,44,1114,1131,407,420,11,10,31,36,5,7,89,82,73,73,5,4,1,0,0,0,3,0,7,5,78,77,10,8,2,1,4,2,4,2
50,1,1,Alabama,Autauga County,5,6,3593,1767,1826,1336,1313,385,451,3,4,23,24,0,2,20,32,1355,1340,394,470,8,10,32,36,0,3,1713,1759,1288,1255,380,446,3,3,23,24,0,2,19,29,1306,1279,388,462,8,9,32,36,0,3,54,67,48,58,5,5,0,1,0,0,0,0,1,3,49,61,6,8,0,1,0,0,0,0
50,1,1,Alabama,Autauga County,5,7,4169,2005,2164,1452,1557,456,524,11,13,20,31,7,3,59,36,1504,1592,474,537,32,25,52,45,9,5,1896,2087,1367,1496,448,517,7,9,19,31,2,0,53,34,1415,1529,464,528,23,20,49,45,3,2,109,77,85,61,8,7,4,4,1,0,5,3,6,2,89,63,10,9,9,5,3,0,6,3
50,1,3,Alabama,Baldwin County,5,5,12737,6364,6373,5326,5211,732,740,72,42,52,182,2,4,180,194,5496,5396,822,839,140,108,100,238,7,15,5894,5867,4917,4735,718,732,49,36,52,182,2,2,156,180,5066,4907,797,822,104,95,95,237,5,12,470,506,409,476,14,8,23,6,0,0,0,2,24,14,430,489,25,17,36,13,5,1,2,3
50,1,3,Alabama,Baldwin County,5,6,13106,6498,6608,5429,5616,757,643,106,56,65,94,2,7,139,192,5559,5797,815,733,159,132,104,151,7,18,6065,6216,5059,5281,747,624,64,50,65,92,1,6,129,163,5180,5434,800,697,112,113,103,139,6,10,433,392,370,335,10,19,42,6,0,2,1,1,10,29,379,363,15,36,47,19,1,12,1,8
50,1,3,Alabama,Baldwin County,5,7,14770,7248,7522,6031,6381,922,790,68,79,94,124,2,11,131,137,6154,6509,966,844,134,142,138,167,5,18,6778,7069,5616,5997,906,765,41,55,93,123,2,11,120,118,5729,6106,946,810,98,107,136,161,5,18,470,453,415,384,16,25,27,24,1,1,0,0,11,19,425,403,20,34,36,35,2,6,0,0
50,1,5,Alabama,Barbour County,5,5,1499,883,616,354,259,504,339,7,1,2,4,1,2,15,11,363,270,513,346,17,4,4,7,2,3,839,586,314,238,503,335,5,0,2,4,1,0,14,9,322,247,512,340,15,2,3,7,2,1,44,30,40,21,1,4,2,1,0,0,0,2,1,2,41,23,1,6,2,2,1,0,0,2
50,1,5,Alabama,Barbour County,5,6,1585,1000,585,416,245,558,315,2,4,4,6,2,6,18,9,426,253,572,320,12,7,6,7,2,7,954,564,379,231,553,314,2,4,4,6,1,0,15,9,388,239,564,319,10,7,6,7,1,1,46,21,37,14,5,1,0,0,0,0,1,6,3,0,38,14,8,1,2,0,0,0,1,6
50,1,5,Alabama,Barbour County,5,7,1650,1057,593,413,224,618,345,9,7,1,6,2,1,14,10,422,233,631,350,13,11,3,8,2,1,1004,567,374,204,612,344,4,3,1,6,1,1,12,9,381,212,623,349,8,6,3,8,1,1,53,26,39,20,6,1,5,4,0,0,1,0,2,1,41,21,8,1,5,5,0,0,1,0
50,1,7,Alabama,Bibb County,5,5,1272,726,546,491,428,221,107,3,0,3,2,1,1,7,8,497,435,224,113,8,1,3,4,2,3,702,531,471,417,218,105,3,0,3,2,0,0,7,7,477,423,221,110,8,1,3,4,1,2,24,15,20,11,3,2,0,0,0,0,1,1,0,1,20,12,3,3,0,0,0,0,1,1
