SUMLEV,STATE,COUNTY,STNAME,State_County,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,1,Alabama,Alabama_Autauga County,Autauga County,5,5+6+7,11011,5384,5627,3940,4034,1227,1372,18,20,60,75,12,9,127,117,4051,4140,1285,1435,53,46,119,119,18,17,5132,5401,3734,3842,1209,1356,13,15,59,75,4,6,113,107,3835,3939,1259,1410,42,39,112,117,8,12,252,226,206,192,18,16,5,5,1,0,8,3,14,10,216,201,26,25,11,7,7,2,10,5
50,1,3,Alabama,Alabama_Baldwin County,Baldwin County,5,5+6+7,40613,20110,20503,16786,17208,2411,2173,246,177,211,400,6,22,450,523,17209,17702,2603,2416,433,382,342,556,19,51,18737,19152,15592,16013,2371,2121,154,141,210,397,5,19,405,461,15975,16447,2543,2329,314,315,334,537,16,40,1373,1351,1194,1195,40,52,92,36,1,3,1,3,45,62,1234,1255,60,87,119,67,8,19,3,11
50,1,5,Alabama,Alabama_Barbour County,Barbour County,5,5+6+7,4734,2940,1794,1183,728,1680,999,18,12,7,16,5,9,47,30,1211,756,1716,1016,42,22,13,22,6,11,2797,1717,1067,673,1668,993,11,7,7,16,3,1,41,27,1091,698,1699,1008,33,15,12,22,4,3,143,77,116,55,12,6,7,5,0,0,2,8,6,3,120,58,17,8,9,7,1,0,2,8
50,1,7,Alabama,Alabama_Bibb County,Bibb County,5,5+6+7,4377,2570,1807,1634,1415,884,358,9,8,8,6,11,1,24,19,1655,1431,898,369,20,14,10,11,12,4,2482,1729,1564,1346,877,353,9,8,8,4,2,0,22,18,1583,1361,890,363,19,14,10,9,3,3,88,78,70,69,7,5,0,0,0,2,9,1,2,1,72,70,8,6,1,0,0,2,9,1
50,1,9,Alabama,Alabama_Blount County,Blount County,5,5+6+7,10542,5386,5156,5093,4893,154,127,33,27,18,17,15,10,73,82,5158,4968,186,165,74,66,31,33,17,16,4660,4539,4409,4321,145,114,23,17,15,16,8,2,60,69,4462,4384,173,143,56,49,25,31,9,7,726,617,684,572,9,13,10,10,3,1,7,8,13,13,696,584,13,22,18,17,6,2,8,9
50,1,11,Alabama,Alabama_Bullock County,Bullock County,5,5+6+7,1936,1217,719,290,117,896,580,4,6,1,0,8,8,18,8,306,123,904,585,11,8,3,2,11,9,1161,675,258,92,886,577,2,1,1,0,1,0,13,5,270,95,894,579,7,3,1,2,2,1,56,44,32,25,10,3,2,5,0,0,7,8,5,3,36,28,10,6,4,5,2,0,9,8
50,1,13,Alabama,Alabama_Butler County,Butler County,5,5+6+7,3090,1497,1593,672,661,763,867,7,12,34,35,1,0,20,18,689,678,779,875,15,16,36,41,1,1,1468,1569,652,644,756,864,7,9,33,35,1,0,19,17,668,660,771,871,15,13,35,41,1,1,29,24,20,17,7,3,0,3,1,0,0,0,1,1,21,18,8,4,0,3,1,0,0,0
50,1,15,Alabama,Alabama_Calhoun County,Calhoun County,5,5+6+7,23312,11636,11676,8207,8122,3046,3109,54,52,80,84,15,21,234,288,8416,8386,3176,3275,129,130,148,166,28,40,11040,11118,7685,7654,3008,3064,46,38,71,79,13,19,217,264,7880,7896,3128,3217,114,107,137,154,21,37,596,558,522,468,38,45,8,14,9,5,2,2,17,24,536,490,48,58,15,23,11,12,7,3
50,1,17,Alabama,Alabama_Chambers County,Chambers County,5,5+6+7,6168,3016,3152,1650,1649,1261,1415,12,15,40,28,3,1,50,44,1694,1690,1289,1443,30,26,50,36,7,5,2909,3051,1578,1572,1246,1403,7,12,31,27,2,1,45,36,1617,1605,1272,1426,23,21,41,34,5,5,107,101,72,77,15,12,5,3,9,1,1,0,5,8,77,85,17,17,7,5,9,2,2,0
50,1,19,Alabama,Alabama_Cherokee County,Cherokee County,5,5+6+7,4128,2119,2009,1932,1855,132,82,14,17,8,9,0,1,33,45,1962,1895,146,108,30,37,15,17,1,3,2083,1944,1904,1804,132,81,10,11,8,9,0,0,29,39,1930,1838,144,104,25,30,14,15,1,2,36,65,28,51,0,1,4,6,0,0,0,1,4,6,32,57,2,4,5,7,1,2,0,1
50,1,21,Alabama,Alabama_Chilton County,Chilton County,5,5+6+7,8692,4360,4332,3708,3714,543,502,25,32,15,25,10,5,59,54,3760,3760,576,536,49,52,25,34,15,10,3850,3933,3260,3372,506,475,15,17,13,19,5,3,51,47,3304,3411,536,506,35,33,22,28,10,8,510,399,448,342,37,27,10,15,2,6,5,2,8,7,456,349,40,30,14,19,3,6,5,2
50,1,23,Alabama,Alabama_Choctaw County,Choctaw County,5,5+6+7,1948,954,994,570,539,371,441,3,3,1,4,0,0,9,7,579,545,377,443,6,7,2,6,0,0,946,977,564,527,369,439,3,3,1,1,0,0,9,7,573,533,375,441,6,7,2,3,0,0,8,17,6,12,2,2,0,0,0,3,0,0,0,0,6,12,2,2,0,0,0,3,0,0
